"Sleep" "NonD" "Dream" "BodyWgt" "BrainWgt" "Span" "Gest" "Pred" "Exp" "Danger"
"1" 3.3 -0.600000000000133 3.9000000000001 6654 5712 38.6 645 3 5 3
"2" 8.3 6.3 2 1 6.6 4.5 42 3 1 3
"3" 12.5 11.3 1.19999999999999 3.385 44.5 14 60 1 1 1
"4" 16.5 15.5 0.999999999999984 0.92 5.7 16.6480068330568 25 5 2 3
"5" 3.9 2.1 1.8 2547 4603 69 624 3 5 4
"6" 9.8 9.1 0.7 10.55 179.5 27 180 4 4 4
"7" 19.7 15.8 3.9 0.023 0.3 19 35 1 1 1
"8" 6.2 5.2 1 160 169 30.4 392 4 5 4
"9" 14.5 10.9 3.6 3.3 25.6 28 63 1 2 1
"10" 9.7 8.3 1.4 52.16 440 50 230 1 1 1
"11" 12.5 11 1.5 0.425 6.4 7 112 5 4 4
"12" 3.9 3.2 0.7 465 423 30 281 5 5 5
"13" 10.3 7.6 2.7 0.55 2.4 13.9063400764469 -82.7749257601006 2 1 2
"14" 3.1 1.20000000000001 1.89999999999999 187.1 419 40 365 5 5 5
"15" 8.4 6.3 2.1 0.075 1.2 3.5 42 1 1 1
"16" 8.6 8.6 0 3 25 50 28 2 2 2
"17" 10.7 6.6 4.1 0.785 3.5 6 42 2 2 2
"18" 10.7 9.5 1.2 0.2 5 10.4 120 2 2 2
"19" 6.1 4.8 1.3 1.41 17.5 34 81.1402616072391 1 2 1
"20" 18.1 12 6.1 60 81 7 -70.4904912392367 1 1 1
"21" 1.66439568289749 1.36439568289748 0.3 529 680 28 400 5 5 5
"22" 3.8 3.3 0.5 27.66 115 20 148 5 5 5
"23" 14.4 11 3.4 0.12 1 3.9 16 3 1 2
"24" 12 9.60000000000002 2.39999999999999 207 406 39.3 252 1 4 1
"25" 6.2 4.7 1.5 85 325 41 310 1 3 1
"26" 13 11.1 1.89999999999999 36.33 119.5 16.2 63 1 1 1
"27" 13.8 10.4 3.4 0.101 4 9 28 5 1 3
"28" 8.2 7.4 0.8 1.04 5.5 7.6 68 5 3 4
"29" 2.9 2.1 0.8 521 655 46 336 5 5 5
"30" 10.8 7.2 3.59999999999999 100 157 22.4 100 1 1 1
"31" 13.8959526009627 11.4959526009627 2.39999999999998 35 56 16.3 33 3 5 4
"32" 9.1 7.7 1.4 0.005 0.14 2.6 21.5 5 2 4
"33" 19.9 17.9 2 0.01 0.25 24 50 1 1 1
"34" 8 6.1 1.9 62 1320 100 267 1 1 1
"35" 10.6 8.2 2.4 0.122 3 14.5812024599339 30 2 1 1
"36" 11.2 8.4 2.8 1.35 8.1 -10.2122475626184 45 3 1 3
"37" 13.2 11.9 1.3 0.023 0.4 3.2 19 4 1 3
"38" 12.8 10.8 2 0.048 0.33 2 30 4 1 3
"39" 19.4 13.8 5.6 1.7 6.3 5 12 2 1 1
"40" 17.4 14.3 3.1 3.5 10.8 6.5 120 2 1 1
"41" 7.15669031963232 6.15669031963232 1 250 490 23.6 440 5 5 5
"42" 17 15.2 1.8 0.48 15.5 12 140 2 2 2
"43" 10.9 10 0.9 10 115 20.2 170 4 4 4
"44" 13.7 11.9 1.8 1.62 11.4 13 17 2 1 2
"45" 8.4 6.5 1.9 192 180 27 115 4 4 4
"46" 8.4 7.5 0.9 2.5 12.1 18 31 5 5 5
"47" 12.5 5.90000000000001 6.59999999999998 4.288 39.2 13.7 63 2 2 2
"48" 13.2 10.6 2.6 0.28 1.9 4.7 21 3 1 3
"49" 9.8 7.4 2.4 4.235 50.4 9.8 52 1 1 1
"50" 9.6 8.4 1.2 6.8 179 29 164 2 3 2
"51" 6.6 5.7 0.9 0.75 12.3 7 225 2 2 2
"52" 5.4 4.9 0.5 3.6 21 6 225 3 2 3
"53" 2.6 1.29999999999999 1.3 14.83 98.2 17 150 5 5 5
"54" 3.8 3.2 0.6 55.5 175 20 151 5 5 5
"55" 11 8.40000000000002 2.59999999999997 1.4 12.5 12.7 90 2 2 2
"56" 10.3 8.1 2.2 0.06 1 3.5 129.376967630879 3 1 2
"57" 13.3 11 2.3 0.9 2.6 4.5 60 2 1 2
"58" 5.4 4.9 0.5 2 12.3 7.5 200 3 1 3
"59" 15.8 13.2 2.6 0.104 2.5 2.3 46 3 2 2
"60" 10.3 9.7 0.6 4.19 58 24 210 4 3 4
"61" 19.4 12.8 6.6 3.5 3.9 3 14 2 1 1
"62" 20.0459620138056 18.2459620138056 1.80000000000002 4.05 17 13 38 3 1 1
